day_number,class_level,topic,q1_text,q1_a,q1_b,q1_c,q1_correct,q2_text,q2_a,q2_b,q2_c,q2_correct,q3_text,q3_a,q3_b,q3_c,q3_correct
13,8,How does a generator produce electricity?,What is the basic mechanism by which a generator produces electricity?,A coil rotating in a magnetic field induces an electric current by electromagnetic induction,A generator stores static charge and releases it as a current when needed,Chemical reactions inside the generator convert stored energy directly to current,q1_a,Why is understanding electromagnetic induction more useful than knowing generators make electricity?,Knowing generators make electricity is sufficient for all power engineering,It allows engineers to predict output voltage and design efficient power systems,"Induction mechanisms only apply to alternators, not to simple DC generators",q2_b,"If a generator's coil spun twice as fast, what would you predict about the output?",The output voltage would decrease because faster rotation weakens the field,The output would stay constant because voltage depends only on coil size,The output voltage and frequency would both increase,q3_c
14,8,Why does lightning happen?,What causes the electrical discharge we see as lightning?,Charge separation in clouds builds up until electrical discharge jumps to ground,Friction between raindrops and clouds produces heat that glows as lightning,Oxygen in clouds reacts with nitrogen and releases energy as a bright flash,q1_a,Why is understanding the charge-separation mechanism more useful than knowing lightning is dangerous?,Knowing lightning is dangerous is sufficient for all safety applications,It helps design lightning rods and predict storm behaviour accurately,"The mechanism only explains cloud-to-ground lightning, not cloud-to-cloud",q2_b,"If a tall metal rod were placed on a building during a storm, what would you predict?",The rod would attract more lightning and cause more damage to the building,The rod would repel lightning by creating a magnetic field around the building,Lightning would strike the rod and safely conduct charge to the ground,q3_c
15,8,How does a mobile phone transmit information?,How does a mobile phone send information wirelessly?,It converts data into electromagnetic radio waves that travel to a cell tower,It sends electrical pulses through underground copper cables to towers,It beams laser light signals directly to satellites in low orbit,q1_a,Why is understanding radio wave transmission more useful than knowing phones communicate?,Knowing phones communicate wirelessly is sufficient for all telecom work,"It helps engineers improve signal strength, bandwidth, and network coverage","Radio wave mechanisms only apply to older 2G networks, not 4G or 5G",q2_b,"If you moved to an area with no cell towers nearby, what would you predict?",The phone would automatically switch to satellite mode for full signal,Phone signals would become stronger as they spread out more in open space,Signal strength would drop and calls and data would fail or disconnect,q3_c
16,8,What is actually happening inside a chemical reaction?,What actually happens at the molecular level during a chemical reaction?,"Bonds between atoms break and new bonds form, creating different substances",Atoms are destroyed and new atoms are created from energy in the reaction,Molecules are compressed until they merge into a new larger molecule,q1_a,Why is understanding bond-breaking and bond-forming more useful than memorising reaction products?,Memorising products is sufficient since all reactions behave the same way,It allows prediction of energy changes and products in new reactions,"Bond mechanisms only apply to organic chemistry, not inorganic reactions",q2_b,"If a catalyst were added to a chemical reaction, what would you predict?",The reaction would stop because catalysts block bond-breaking pathways,New atoms would form because catalysts provide extra chemical energy,The reaction would speed up as the catalyst lowers activation energy,q3_c
17,8,Why does fire need oxygen?,Why is oxygen essential for fire to burn?,"Oxygen reacts with fuel in combustion, releasing heat and light energy",Oxygen cools the fuel so it does not overheat and extinguish itself,Oxygen carries the flame from one fuel molecule to the next by conduction,q1_a,Why is understanding combustion mechanism more useful than knowing fire needs oxygen?,Knowing fire needs oxygen is enough to understand all fire safety situations,"It helps predict what conditions will start, sustain, or extinguish a fire","Combustion mechanisms only apply to wood fires, not to gas or liquid fuels",q2_b,"If all oxygen were removed from around a burning candle, what would you predict?",The candle would burn more slowly but continue for several more minutes,The flame would get smaller but stabilise once it adapts to lower oxygen,The flame would go out immediately because combustion cannot continue,q3_c
18,8,Why do metals conduct electricity?,What property of metals allows them to conduct electricity?,Metals have free electrons that move easily through the atomic lattice,"Metals are dense, so charge squeezes through the material under pressure",Metal atoms are positively charged and attract current from the source,q1_a,Why is knowing about free electrons more useful than just knowing metals conduct?,Knowing metals conduct is sufficient to design all electrical circuits,It predicts how temperature and impurities affect conductivity in metals,"Free electron theory only explains conductivity in copper, not all metals",q2_b,"If a metal were heated to very high temperature, what would you predict about its resistance?",Resistance would decrease because heat gives electrons more energy to move,Resistance would stay the same as temperature does not affect electrons,Resistance would increase because atomic vibrations disrupt electron flow,q3_c
19,8,How is steel different from iron?,What makes steel stronger than pure iron?,"Steel contains carbon atoms that fill gaps in the iron lattice, blocking dislocations","Steel is heated at higher temperatures, which permanently increases its density","Steel has fewer iron atoms per unit area, making it lighter and more flexible",q1_a,Why does understanding the iron-carbon structure matter more than knowing steel is stronger?,Knowing steel is stronger is sufficient for all construction and engineering,It allows metallurgists to predict how changing carbon content alters properties,"The structural difference only matters for high-carbon steel, not mild steel",q2_b,"If too much carbon were added to iron, what would you predict about the resulting material?",The material would become even stronger and more ductile than normal steel,"The extra carbon would be expelled as carbon dioxide, returning it to iron",The material would become very brittle and crack easily under stress,q3_c
20,8,Plastics: miracle material or environmental problem?,What is the main reason plastics persist so long in the environment?,Most plastics are non-biodegradable polymers that microbes cannot break down,Plastics contain toxins that kill the bacteria needed to decompose them,Plastics are always coated with wax that prevents moisture from entering,q1_a,Why is understanding the chemistry of plastic degradation important?,Knowing plastic lasts long is sufficient for all environmental planning,It guides development of biodegradable alternatives and recycling strategies,"Degradation chemistry only matters for single-use plastics, not durable ones",q2_b,"If a biodegradable plastic were designed using natural polymers, what would you predict?",It would last longer than regular plastic because natural polymers are stronger,Microbes would still be unable to break it down because the shape is similar,"Microbes could break it down naturally, reducing long-term environmental pollution",q3_c
21,8,How do crops get nitrogen?,How do most crops obtain the nitrogen they need to grow?,"Nitrogen is absorbed from soil as nitrates via roots, often aided by bacteria",Crops absorb nitrogen gas directly from the air through their leaves,Nitrogen enters plants through photosynthesis when sunlight splits nitrogen gas,q1_a,Why is understanding the nitrogen cycle mechanism more useful than knowing plants need nitrogen?,Knowing plants need nitrogen is enough to manage all farmland effectively,It explains why crop rotation and fertilisers improve agricultural yields,"Nitrogen mechanisms only matter for legumes, not for grains like wheat",q2_b,"If nitrogen-fixing bacteria were removed from the soil, what would you predict?",Plants would absorb more atmospheric nitrogen to compensate for the loss,Soil nitrogen levels would stay constant as rainfall deposits enough nitrogen,Soil nitrogen levels would drop and crops would suffer from nitrogen deficiency,q3_c
22,8,Why are some animals disappearing?,What is the leading cause of animal species becoming endangered today?,Habitat destruction reduces living space and food sources for wildlife,Genetic mutations are making animals less able to survive natural conditions,Competition between species has recently increased due to climate cooling,q1_a,Why is understanding extinction mechanisms more useful than listing endangered species?,Species lists are sufficient to plan all conservation efforts worldwide,Mechanisms help conservationists target the root causes and reverse decline,"Extinction mechanisms only apply to large mammals, not insects or plants",q2_b,"If a keystone species disappeared from an ecosystem, what would you predict?",Other species would quickly evolve to fill the role and restore balance,Only the immediate prey species would be affected; predators would adapt,"Multiple species that depended on it would decline, disrupting the ecosystem",q3_c
23,8,How does a food chain work?,What does a food chain show about energy in an ecosystem?,A food chain shows how energy and nutrients are transferred from producers to consumers,A food chain shows the physical paths animals travel when searching for food,A food chain records the order in which animals appeared during evolution,q1_a,Why is understanding energy transfer in a food chain useful?,Knowing which animals eat which others is sufficient for ecology studies,It helps predict population sizes and the impact of removing one species,"Energy transfer only matters in marine food chains, not terrestrial ones",q2_b,"If all herbivores in a food chain disappeared, what would you predict?",Carnivores would switch directly to eating plants and survive without issue,Plant populations would decrease because herbivores provide essential nutrients,"Carnivores would lose their food source and decline, while plants overgrew",q3_c
24,8,What happens when an ecosystem loses one species?,What is a trophic cascade in an ecosystem?,When removing one species causes a chain reaction affecting many other species,When a new species enters and immediately occupies the top of the food chain,When flooding events rearrange species populations across large areas,q1_a,Why is understanding species interdependence more useful than knowing a species is gone?,Recording that a species is extinct is sufficient for ecological management,It allows scientists to predict and prevent collapse of entire ecosystems,"Interdependence only matters in tropical rainforests, not temperate ecosystems",q2_b,"If wolves were reintroduced to an ecosystem where they had been absent, what would you predict?",Only deer populations would be affected; all other species would be unchanged,Wolves would compete with herbivores directly and reduce plant diversity,"Deer populations would decline, allowing vegetation to recover along riverbanks",q3_c
25,8,How does rainwater become groundwater?,How does rainwater become groundwater stored underground?,Rainwater infiltrates through permeable soil and rock layers into aquifers,Rainwater is absorbed by tree roots and stored in underground hollow trunks,Rainwater evaporates and then condenses in underground caves as groundwater,q1_a,Why is understanding the infiltration mechanism more useful than knowing groundwater exists?,Knowing groundwater exists is sufficient for all water management decisions,It helps predict aquifer recharge rates and sustainable water extraction limits,"Infiltration only matters in sandy soils, not in clay-rich or rocky terrain",q2_b,"If forests covering a hillside were cleared, what would you predict about groundwater recharge?","More rain would reach the soil directly, increasing groundwater recharge",Groundwater levels would stay the same because rainfall amount is unchanged,"Surface runoff would increase and infiltration would decrease, reducing recharge",q3_c
26,8,Why do cyclones rotate?,What causes a cyclone to rotate rather than move straight inward?,"The Coriolis effect from Earth's rotation deflects winds, causing circular motion","Warm ocean water heats air unevenly, pushing it into a spinning column",High-altitude jet streams catch rising air and force it into a circular path,q1_a,Why is understanding the Coriolis effect and pressure gradient more useful than knowing cyclones spin?,Knowing cyclones spin is enough to issue storm warnings to coastal areas,"It enables accurate prediction of cyclone paths, intensity, and timing","Rotation mechanisms only explain cyclones, not anticyclones or tornadoes",q2_b,"If a cyclone crossed the equator, what would you predict about its rotation?",It would accelerate because the equator has the strongest Coriolis effect,It would maintain its original rotation direction as momentum is conserved,It would weaken and dissipate because the Coriolis effect is zero at the equator,q3_c
27,8,How do satellites stay in orbit?,Why doesn't a satellite fall to Earth even though gravity pulls on it?,The satellite moves so fast sideways that it keeps falling around Earth's curve,The satellite reaches an altitude where gravity is too weak to pull it down,Solar panels on the satellite produce thrust that counteracts gravitational pull,q1_a,Why is understanding orbital mechanics more useful than just knowing satellites stay up?,Knowing satellites stay in orbit is sufficient for all space mission planning,It allows engineers to calculate correct launch speeds and orbital altitudes,"Orbital mechanics only apply to large satellites, not to small cubesats",q2_b,"If a satellite were slowed down significantly by atmospheric drag, what would you predict?",The satellite would move to a higher orbit because lower speed saves fuel,The satellite would orbit in a wider ellipse but remain at the same altitude,The satellite's orbit would decay and it would eventually fall back to Earth,q3_c
28,8,Why doesn't the Moon fall onto Earth?,Why doesn't the Moon crash into Earth despite gravity pulling them together?,The Moon's orbital speed creates a balance between gravity and inertia,The Moon is pushed away from Earth by the solar wind balancing gravity,Earth's gravity is too weak at that distance to pull the Moon,q1_a,Why is understanding orbital balance more useful than knowing the Moon stays in the sky?,Knowing the Moon stays up is sufficient for all astronomy and tidal studies,It explains how any orbiting body can be stable and predicts orbital changes,"Orbital balance only applies to natural moons, not to artificial satellites",q2_b,"If the Moon's orbital speed suddenly decreased, what would you predict?",The Moon would move to a higher orbit due to reduced centripetal acceleration,Earth's gravity would weaken proportionally to maintain the Moon's orbit,The Moon would spiral inward toward Earth as gravity overcame its inertia,q3_c
29,8,Could we build a city underwater?,What is the greatest engineering challenge for building a city underwater?,Withstanding enormous water pressure that increases with depth,Finding enough sand on the ocean floor to build foundations,Generating enough heat to keep inhabitants warm in deep water,q1_a,Why is understanding fluid pressure mechanisms important for underwater city design?,Knowing water is heavy is sufficient to plan all underwater construction,It determines the structural materials and wall thickness needed for safety,"Pressure mechanisms only matter for military submarines, not civilian structures",q2_b,"If an underwater habitat were built at twice the depth, what would you predict about its walls?",Thinner walls would be needed as deeper water provides extra structural support,Wall thickness would remain the same if the same waterproof material is used,Much thicker and stronger walls would be needed to withstand doubled pressure,q3_c
30,8,Ultimate Challenge: Design a future sustainable city,What is the central goal when designing a sustainable city?,Meeting all human needs while minimising resource use and environmental impact,Building as many tall buildings as possible to house the largest population,Using the most advanced technology regardless of energy or material cost,q1_a,Why is a systems-thinking approach more useful than solving one problem at a time?,Solving individual problems one by one is the most efficient design strategy,Sustainable city systems are interconnected; fixing one part affects all others,Systems thinking only applies to large cities with over one million residents,q2_b,"If a sustainable city removed all cars and relied only on cycling and walking, what would you predict?",Air pollution would increase because more people outdoors release more CO2,Energy demand would increase because more lighting would be needed on paths,Air quality and public health would improve and carbon emissions would drop,q3_c
1,9,What is matter really made of?,Which best describes what matter is made of at its most fundamental level?,Matter is made of tiny particles called atoms and molecules,"Matter is made of continuous, unbroken fluid that fills all space",Matter is made of invisible waves that have no mass,q1_a,Why is identifying the mechanism more useful than just memorising the result?,Mechanisms are shorter to write and easier to remember in exams,A mechanism explains cause-and-effect and allows prediction in new situations,Mechanisms are always visible so they are easier to verify directly,q2_b,"If the number of particles in a fixed space were doubled, what would you predict?",The particles would slow down and stop moving entirely,The particles would merge into one large continuous substance,The density of matter would increase and collisions between particles would rise,q3_c
2,9,Why do particles move even when you can't see them?,What is the main reason particles in matter are always in motion?,Particles possess kinetic energy and move continuously at all temperatures above absolute zero,Particles are pushed by gravity which keeps them vibrating constantly,Particles move only when an external force such as wind acts on them,q1_a,Why is knowing the mechanism of particle motion more useful than just knowing they move?,It saves time because you only need to learn one fact about motion,A mechanism explains cause-and-effect and allows prediction in new situations,Mechanisms are easier to draw in diagrams than descriptions of motion,q2_b,"If temperature were lowered toward absolute zero, what would happen to particle motion?",Particle motion would increase because cold particles vibrate more rapidly,Particle motion would stay constant because temperature does not affect speed,Particle motion would approach zero as thermal energy is removed from the system,q3_c
3,9,How does diffusion work?,What correctly describes diffusion?,Diffusion is the net movement of particles from high concentration toward low concentration,Diffusion is the movement of water molecules only through a semipermeable membrane,Diffusion is the process by which particles clump together under gravitational attraction,q1_a,Why is understanding the mechanism of diffusion more useful than memorising the definition?,"Definitions are hard to remember, while mechanisms can be guessed from context",A mechanism explains cause-and-effect and allows prediction in new situations,Mechanisms are tested less frequently in school examinations than definitions,q2_b,"If temperature were increased, what would you predict about the rate of diffusion?",Diffusion would slow down because higher temperature makes particles too energetic to spread,Diffusion would stop because particles become too heavy at high temperatures,Diffusion would speed up because higher temperature increases particle kinetic energy,q3_c
4,9,Why does temperature change particle motion?,What is the relationship between temperature and the kinetic energy of particles?,Temperature is a measure of the average kinetic energy of particles in a substance,Temperature measures the total potential energy stored in chemical bonds between particles,Temperature measures the number of particles present in a given volume of substance,q1_a,Why is identifying the mechanism linking temperature and particle motion important?,It allows students to skip calculations and focus on written descriptions only,A mechanism explains cause-and-effect and allows prediction in new situations,It is required only for physics and not for chemistry or biology topics,q2_b,"If a gas were cooled significantly, what change in particle motion would you predict?",The particles would gain energy and collide more forcefully with container walls,The particles would reorganise into a new element with different chemical properties,The particles would slow down and may eventually condense into a liquid or solid,q3_c
5,9,Atoms: the tiny building blocks of everything,Which statement best describes an atom?,An atom is the smallest unit of an element retaining that element's chemical properties,An atom is a cluster of molecules held together by surface tension forces,An atom is a unit of energy that cannot be divided by any known process,q1_a,Why is understanding how atoms behave more useful than just memorising their definition?,"Definitions are optional knowledge, while behaviour is tested in every examination",A mechanism explains cause-and-effect and allows prediction in new situations,Atomic behaviour is simpler to learn because it involves only three rules,q2_b,"If the number of protons in an atom were changed, what would you predict?",The mass of the atom would stay identical because protons have negligible mass,The atom's electron shells would collapse because electrons depend on neutrons,The atom would become a different element with different chemical properties,q3_c
6,9,How was the atom discovered?,"Which experiment provided the first evidence that the atom has a small, dense, positively charged nucleus?","Rutherford's gold foil experiment, where alpha particles were deflected at large angles","Dalton's law experiment, where gases combined in fixed volume ratios at constant pressure","Thomson's cathode ray experiment, which showed that electrons orbit the nucleus in shells",q1_a,Why is knowing the mechanism of the gold foil experiment more valuable than memorising its result?,Results change every year but mechanisms stay constant and are never re-examined,A mechanism explains cause-and-effect and allows prediction in new situations,The mechanism involves maths which is more reliable than descriptive results,q2_b,"If all alpha particles had passed straight through the gold foil without deflection, what would that predict?",The nucleus would be confirmed to be large and spread throughout the atom,The experiment would show that electrons repel alpha particles near the surface,"The atom would likely have no dense nucleus, contradicting the nuclear model",q3_c
7,9,Why are some atoms radioactive?,What causes an atom to be radioactive?,An unstable nucleus spontaneously emits radiation to achieve a more stable nuclear configuration,An atom becomes radioactive when it gains extra electrons from a nearby charged object,Radioactivity occurs when atoms absorb too much sunlight and re-emit it as particles,q1_a,Why is identifying the mechanism of radioactive decay more useful than just knowing it emits radiation?,Knowing radiation exists is sufficient for safety; mechanisms are only for scientists,A mechanism explains cause-and-effect and allows prediction in new situations,The mechanism helps calculate tax on nuclear materials in industrial settings,q2_b,"If a radioactive isotope lost neutrons until its nucleus became stable, what would you predict?",The atom would continue emitting stronger and stronger radiation indefinitely,The atom would split into two equal halves and both halves would remain radioactive,The rate of radioactive emission would decrease and eventually the atom would become stable,q3_c
8,9,What makes an element different from another?,What property uniquely identifies and distinguishes one element from all others?,"The number of protons in the nucleus, the atomic number, uniquely defines each element",The colour and texture of the element in its solid form at room temperature,The total mass of the element including all isotopes averaged across the periodic table,q1_a,Why is understanding the mechanism that makes elements different more valuable than listing their properties?,"Properties change with temperature, making them less reliable than any mechanism",A mechanism explains cause-and-effect and allows prediction in new situations,Listing properties is required for industrial applications while mechanisms are theoretical,q2_b,"If two atoms had the same number of protons but different numbers of neutrons, what would you predict?",They would be completely different elements with entirely different chemical behaviours,They would be oppositely charged ions that attract each other strongly in solution,They would be isotopes of the same element with slightly different masses but similar chemistry,q3_c
9,9,How do chemical bonds hold matter together?,What is the correct description of how ionic bonds form?,"Ionic bonds form when one atom transfers electrons to another, creating attracting oppositely charged ions",Ionic bonds form when two atoms share electrons equally in overlapping outer orbitals,Ionic bonds form when atoms merge their nuclei together under high temperature and pressure,q1_a,Why is knowing the mechanism of chemical bonding more useful than memorising bond definitions?,"Bond definitions are too long to memorise, so mechanisms replace them in advanced study",A mechanism explains cause-and-effect and allows prediction in new situations,Mechanisms are shorter and therefore easier to write in limited examination time,q2_b,"If an atom with one outer electron bonded with an atom that needed one electron, what would form?",A covalent compound where both atoms share their electrons equally across all shells,A metallic lattice because single-electron atoms always form metallic structures,"An ionic compound where the electron transfers, forming a positive and negative ion pair",q3_c
10,9,Why does mass stay conserved in a reaction?,What does the law of conservation of mass state about a chemical reaction?,Total reactant mass equals total product mass; atoms are neither created nor destroyed,Mass increases in every reaction because energy is converted into additional matter,Mass is conserved only in physical changes but always changes in chemical reactions,q1_a,Why is understanding the atomic mechanism of mass conservation more useful than just stating the law?,"The law is outdated, so the mechanism provides a more modern and accurate description",A mechanism explains cause-and-effect and allows prediction in new situations,Memorising the law is sufficient for all practical laboratory and industrial purposes,q2_b,"If a metal burned completely in air and the ash seemed lighter, what prediction explains this correctly?",Some atoms were destroyed in the intense heat of the combustion reaction,"The metal released protons that escaped into the atmosphere, reducing its mass",Some product gases escaped into the air; total mass including gases is still conserved,q3_c
11,9,How does your body obtain energy from food?,What process does the body use to release energy from glucose for cellular use?,"Cellular respiration breaks down glucose using oxygen, releasing energy stored as ATP",Digestion converts glucose directly into electricity that powers muscle contractions,Photosynthesis in red blood cells converts glucose into usable heat energy,q1_a,Why is knowing the mechanism of energy release more useful than just knowing food gives energy?,"Food labels describe energy content, making mechanism knowledge unnecessary in practice",A mechanism explains cause-and-effect and allows prediction in new situations,Mechanisms are only relevant for athletes and not for average healthy individuals,q2_b,"If oxygen supply to cells were cut off, what would you predict about energy production?",Energy production would increase because cells switch to a more efficient pathway,Energy production would remain normal because mitochondria store enough reserve oxygen,Aerobic respiration would stop and cells would rely on less efficient anaerobic respiration,q3_c
12,9,The architecture of a cell,Which structure controls all activities of the cell and contains its genetic material?,"The nucleus, which houses DNA and directs all cellular processes and protein synthesis","The mitochondria, which store DNA and control the cell's metabolic rate and growth","The cell membrane, which acts as a command centre regulating all internal chemical signals",q1_a,Why is understanding how cell organelles interact more useful than listing them separately?,"Listing organelles is only required for diagrams, not for explanatory written answers",A mechanism explains cause-and-effect and allows prediction in new situations,"Interaction data changes frequently, so understanding lists is more reliable long-term",q2_b,"If the cell membrane were made completely impermeable, what would you predict?",The cell would grow faster because more nutrients would be retained inside permanently,The nucleus would compensate by producing more enzymes to sustain internal reactions,The cell would die because nutrients could not enter and waste products could not leave,q3_c
13,9,Mitochondria: the cell's power plants,What is the primary function of mitochondria in a cell?,"Mitochondria carry out aerobic respiration to produce ATP, the cell's main energy currency",Mitochondria store genetic instructions and direct the production of new proteins in the cell,Mitochondria produce glucose from carbon dioxide through a process similar to photosynthesis,q1_a,Why is understanding the mechanism of ATP production more valuable than just knowing mitochondria make energy?,"Energy production is obvious from eating food, so the mechanism adds no extra information",A mechanism explains cause-and-effect and allows prediction in new situations,ATP production mechanisms are only relevant to professional biochemists in research labs,q2_b,"If a cell had no mitochondria, what would you predict about its energy production?",The cell would produce more energy by absorbing sunlight directly through the membrane,The cell would produce energy normally using the nucleus as an alternative power centre,The cell could not perform aerobic respiration and would have greatly reduced energy supply,q3_c
14,9,Why is DNA so important?,Why is DNA described as the blueprint of an organism?,DNA contains genetic instructions that determine the structure and function of all proteins,DNA provides energy for cellular reactions by breaking down into glucose molecules when needed,DNA controls the heartbeat by sending electrical signals directly to muscle cells,q1_a,Why is understanding how DNA encodes information more useful than just knowing DNA is important?,DNA importance is taught in all grades so no mechanism is needed beyond basic awareness,A mechanism explains cause-and-effect and allows prediction in new situations,Knowing DNA is important is enough for answering most biology examination questions,q2_b,"If a mutation changed the DNA sequence in a gene, what would you predict?",The DNA would repair itself immediately using enzymes that reverse all mutations automatically,The mutation would have no effect because DNA is protected by a waterproof sheath,The protein produced from that gene could have an altered structure and function,q3_c
15,9,How do cells divide?,What process allows body cells to divide and produce two identical daughter cells?,"Mitosis, in which the cell duplicates its chromosomes and then splits into two genetically identical cells","Meiosis, in which the cell splits into four cells each with a completely unique genetic code","Osmosis, in which the cell absorbs water until it is large enough to spontaneously divide in two",q1_a,Why is knowing the step-by-step mechanism of cell division more useful than just knowing cells divide?,Cell division happens automatically so only medical doctors need to understand its mechanism,A mechanism explains cause-and-effect and allows prediction in new situations,"Step-by-step knowledge is only needed for laboratory practicals, not written answers",q2_b,"If chromosomes failed to separate correctly during cell division, what would you predict?",The cell would divide more quickly because fewer chromosomes are easier to separate,The cell would immediately enter meiosis instead to compensate for the error,"Daughter cells could end up with the wrong number of chromosomes, possibly causing disease",q3_c
16,9,Why do organisms need tissues?,What is the main advantage of organising cells into tissues in a multicellular organism?,Tissues allow groups of specialised cells to perform a specific function more efficiently together,Tissues protect individual cells from damage by surrounding them with fluid-filled cushions,Tissues allow cells to reproduce faster by sharing genetic material between neighbouring cells,q1_a,Why is understanding how tissues enable specialisation more valuable than just knowing they exist?,Tissue names are not tested in examinations so understanding their existence is sufficient,A mechanism explains cause-and-effect and allows prediction in new situations,Tissues are the same in all organisms so one example is enough for complete understanding,q2_b,"If all cells in an organism were identical and unspecialised, what would you predict?",The organism would be more adaptable because each cell could perform any needed function,Growth would accelerate because identical cells divide faster than specialised cells,Complex functions such as digestion and nerve signalling could not operate efficiently,q3_c
17,9,How does your brain communicate with your body?,How does the brain send signals to muscles and organs throughout the body?,The brain sends electrical impulses along nerve cells through the nervous system to target organs,The brain releases chemicals directly into the bloodstream that travel to all cells simultaneously,The brain uses magnetic fields to remotely control muscle fibres without any physical connection,q1_a,Why is understanding the mechanism of nerve signal transmission more useful than knowing the brain controls the body?,Understanding control is enough; transmission details are only relevant to neurologists,A mechanism explains cause-and-effect and allows prediction in new situations,Nerve transmission is too complex for Class 9 so simplified descriptions are more practical,q2_b,"If a nerve pathway between the brain and a limb were damaged, what would you predict?",The brain would find an alternative magnetic route to continue controlling the limb,The limb would generate its own electrical signals to compensate for the lost connection,"Signals could not travel to the limb, causing loss of movement or sensation in that area",q3_c
18,9,What exactly is force?,What is the correct scientific definition of force?,"Force is a push or pull that can change the state of motion, shape, or speed of an object",Force is the stored energy inside an object that is released when the object moves,Force is the weight of an object measured in kilograms on a standard balance,q1_a,Why is understanding how force produces change more useful than just defining force?,Definitions are only useful in theory while force calculations are only done by engineers,A mechanism explains cause-and-effect and allows prediction in new situations,Force is self-evident from everyday experience so no mechanism needs to be studied,q2_b,"If two equal forces acted on an object from opposite directions, what would you predict?",The object would accelerate rapidly because two forces are always stronger than one,The object would vibrate between the two forces with increasing frequency over time,The net force would be zero and the object would remain stationary or continue at constant velocity,q3_c
19,9,Why do objects resist changes in motion?,What property of matter causes objects to resist changes in their state of motion?,Inertia is the tendency of an object to resist any change in its state of rest or uniform motion,Friction is the property that prevents all objects from moving unless pushed continuously,Gravity is the force that holds objects in place and resists any attempt to move them,q1_a,Why is understanding the mechanism of inertia more useful than just stating objects resist motion changes?,Inertia is obvious from daily life so the mechanism only matters in advanced physics courses,A mechanism explains cause-and-effect and allows prediction in new situations,The mechanism of inertia only applies to objects heavier than 1 kilogram in practice,q2_b,"If the mass of an object were doubled, what would you predict about its inertia?",Its inertia would decrease because heavier objects are harder to move so they stop sooner,Its inertia would stay exactly the same because inertia depends only on velocity,"Its inertia would double, requiring twice the force to produce the same change in motion",q3_c
20,9,How does gravity actually work?,What correctly describes Newton's law of universal gravitation?,Every object with mass attracts every other mass; force increases with mass and decreases with distance squared,"Gravity only acts between planets and stars, not between smaller everyday objects around us",Gravity is a magnetic force produced by the iron core of large objects like Earth,q1_a,Why is understanding the mechanism of gravity more useful than just knowing objects fall?,Falling is an obvious observation so no further explanation is needed beyond daily experience,A mechanism explains cause-and-effect and allows prediction in new situations,"Gravity mechanism is only needed by astronauts and satellite engineers, not students",q2_b,"If the distance between two objects were tripled, what would happen to the gravitational force between them?",The gravitational force would decrease to one-third of its original value,The gravitational force would increase because larger distances allow gravity to build up,The gravitational force would decrease to one-ninth of its original value,q3_c
21,9,Why does the Moon orbit Earth?,What keeps the Moon in its orbit around Earth rather than flying off into space?,"Earth's gravity continuously pulls the Moon inward, acting as the centripetal force that maintains its orbit",The Moon is held in orbit by the magnetic field generated by Earth's molten iron core,The Moon stays in orbit because it moves at exactly the speed where friction from space balances its motion,q1_a,Why is understanding the gravitational mechanism of orbit more useful than just knowing the Moon circles Earth?,"Orbital facts are static knowledge that never changes, so no mechanism is needed",A mechanism explains cause-and-effect and allows prediction in new situations,The Moon's orbit was calculated by computers and cannot be understood through basic mechanisms,q2_b,"If the Moon's orbital speed were suddenly increased significantly, what would you predict?",The Moon would move into a lower orbit closer to Earth because faster speed creates more drag,The Moon would remain in exactly the same orbit because orbital paths are fixed by distance,The Moon would move into a higher orbit or escape Earth's gravity entirely,q3_c
22,9,Energy: where does it go?,What does the law of conservation of energy state about energy in a closed system?,Energy cannot be created or destroyed; it can only be transferred or converted from one form to another,Energy decreases slightly in every process due to natural losses that cannot be recovered,Energy is created by burning fuel and destroyed when it is absorbed by a cold object,q1_a,Why is understanding where energy goes in a process more useful than just knowing energy is conserved?,"Conservation is a law, so it applies automatically without needing detailed understanding",A mechanism explains cause-and-effect and allows prediction in new situations,Energy tracking is only needed for electrical engineering and not for general science,q2_b,"If useful mechanical energy in a machine were reduced, where would you predict the lost energy goes?",The energy would disappear permanently because machines cannot recover all stored energy,The energy would be stored in the machine's structure as elastic potential energy reserves,"The energy would be converted to heat through friction or air resistance, not destroyed",q3_c
23,9,How does a roller coaster convert energy?,What energy conversion occurs when a roller coaster moves from the top of a hill to the bottom?,Gravitational potential energy converts to kinetic energy as the coaster descends and accelerates,Chemical energy from the motors converts to electrical energy that drives the coaster downward,Thermal energy from friction is converted into kinetic energy that increases the coaster's speed,q1_a,Why is understanding the energy conversion mechanism more useful than just knowing coasters go fast?,Speed is already obvious from riding a coaster so no scientific explanation is needed,A mechanism explains cause-and-effect and allows prediction in new situations,"Energy conversion is only relevant when designing roller coasters, not for general learning",q2_b,"If a roller coaster hill were made twice as high, what would you predict about its speed at the bottom?",Speed would be exactly twice as high because height and speed have a direct linear relationship,Speed would be unchanged because the coaster mass stays constant regardless of height,"Speed would be greater but less than double because kinetic energy scales with height, not speed directly",q3_c
