day_number,class_level,topic,hook,lesson_url,think_question
12,12,"How radio, Wi-Fi and mobile signals work","how radio, wi-fi and mobile signals work?",https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-12.html,What is the central phenomenon being explained today?
13,12,How lenses form images,how lenses form images?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-13.html,What is the central phenomenon being explained today?
14,12,How optical fibres transmit information,how optical fibres transmit information?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-14.html,What is the central phenomenon being explained today?
15,12,Why light behaves like a wave and a particle,why light behaves like a wave and a particle?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-15.html,What is the central phenomenon being explained today?
16,12,The strange world of quantum mechanics,the strange world of quantum mechanics?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-16.html,What is the central phenomenon being explained today?
17,12,What does the uncertainty principle actually mean?,what does the uncertainty principle actually mean?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-17.html,What is the central phenomenon being explained today?
18,12,How atoms produce spectral lines,how atoms produce spectral lines?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-18.html,What is the central phenomenon being explained today?
19,12,Nuclear energy: what happens inside the nucleus?,nuclear energy: what happens inside the nucleus?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-19.html,What is the central phenomenon being explained today?
20,12,How nuclear reactors work,how nuclear reactors work?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-20.html,What is the central phenomenon being explained today?
21,12,Semiconductor physics,semiconductor physics?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-21.html,What is the central phenomenon being explained today?
22,12,How a transistor works,how a transistor works?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-22.html,What is the central phenomenon being explained today?
23,12,How computer chips are made,how computer chips are made?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-23.html,What is the central phenomenon being explained today?
24,12,How solar cells convert light into electricity,how solar cells convert light into electricity?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-24.html,What is the central phenomenon being explained today?
25,12,Relativity: why time slows down,relativity: why time slows down?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-25.html,What is the central phenomenon being explained today?
26,12,Black holes and event horizons,black holes and event horizons?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-26.html,What is the central phenomenon being explained today?
27,12,How scientists detect gravitational waves,how scientists detect gravitational waves?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-27.html,What is the central phenomenon being explained today?
28,12,Dark matter and dark energy,dark matter and dark energy?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-28.html,What is the central phenomenon being explained today?
29,12,The search for life beyond Earth,the search for life beyond earth?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-29.html,What is the central phenomenon being explained today?
30,12,Grand Challenge: What will the next scientific revolution be?,grand challenge: what will the next scientific revolution be?,https://elevatestemdaily.github.io/elevate-stem-daily-lessons/lessons/class-12/day-30.html,What is the central phenomenon being explained today?
